ticker,date,breakout_date,lead_days,breakout_day_ret_pct,top_rank,rank_weight,post_break_close_drawdown_pct,post_break_high_entry_drawdown_pct,safe_after_break,future_breakout,future_max_ret_pct,Open,High,Low,Close,Volume,vol_ratio_20,value_traded,dist_to_10d_high_pct,dist_to_20d_high_pct,range_10d_pct,close_pos_day,rsi14,macd_hist,macd_bullish,adx14,cmf20,obv_slope_5_pct,price_vs_sma20_pct,price_vs_sma50_pct,intraday_range_pct,consecutive_up
RAJA,2026-07-16,2026-07-21,3,4.918032786885251,24,0.35,-9.375,-9.84455958549223,0,1,4.918032786885251,915.0,935.0,870.0,875.0,239714200.0,1.320523781144605,209749925000.0,8.799999999999999,8.799999999999999,19.428571428571427,0.07692307692189349,58.209363714156886,12.002335852029564,1,28.15112743717634,-0.07809825303191717,81.8137633781587,8.36060331670673,15.70007035251892,7.428571428571429,0
NRCA,2026-07-20,2026-07-21,1,4.90196078431373,25,0.35,-8.785046728971968,-9.629629629629633,0,1,4.90196078431373,510.0,525.0,505.0,510.0,5310500.0,1.0387245428868737,2708355000.0,5.88235294117647,5.88235294117647,25.098039215686274,0.2499999999875,65.40683387963551,11.171021898016274,1,34.5080143055371,-0.05028931054946393,194.81840092796463,14.877801554229084,13.998133033361704,3.9215686274509802,1
NRCA,2026-07-17,2026-07-21,2,4.90196078431373,25,0.35,-8.785046728971968,-9.629629629629633,0,1,4.90196078431373,515.0,520.0,490.0,500.0,8276100.0,1.6604337620127196,4138050000.0,8.0,8.0,25.6,0.3333333333222222,63.529925003294935,10.737708938422616,1,33.53144615645808,-0.03746844483889617,134.54379788776146,13.417262107292723,11.545902144306714,6.0,0
NRCA,2026-07-16,2026-07-21,3,4.90196078431373,25,0.35,-8.785046728971968,-9.629629629629633,0,1,4.90196078431373,462.0,540.0,458.0,515.0,31091700.0,6.581472759505727,16012225500.0,4.854368932038835,4.854368932038835,24.854368932038835,0.695121951211035,68.7234781857307,10.17565047340492,1,32.599533707882095,-0.03562754364214954,141.34865179611216,17.298713130622932,14.57196247302758,15.922330097087379,2
SSIA,2026-07-20,2026-07-21,1,4.885057471264376,26,0.35,-9.589041095890416,-11.528150134048254,0,1,4.885057471264376,1740.0,1765.0,1715.0,1740.0,23201300.0,1.6130149105139735,40370262000.0,5.172413793103448,5.172413793103448,21.551724137931032,0.49999999999000005,65.99601387842972,35.22566951524813,1,25.31707616708919,0.0921575466289649,30.282975002779715,12.370776893954503,9.078497945629676,2.8735632183908044,0
SSIA,2026-07-17,2026-07-21,2,4.885057471264376,26,0.35,-9.589041095890416,-11.528150134048254,0,1,4.885057471264376,1800.0,1805.0,1705.0,1750.0,35795700.0,2.629935716796838,62642475000.0,4.571428571428571,4.571428571428571,21.428571428571427,0.4499999999955,67.27202418889149,32.20931544084725,1,23.983818329942736,0.07332477133959908,51.306747673850175,13.586384719525377,9.631244633089452,5.714285714285714,0
SSIA,2026-07-16,2026-07-21,3,4.885057471264376,26,0.35,-9.589041095890416,-11.528150134048254,0,1,4.885057471264376,1545.0,1830.0,1545.0,1780.0,89165100.0,7.075174587959718,158713878000.0,2.8089887640449436,2.8089887640449436,21.06741573033708,0.8245614035058788,71.10161633003793,23.992332185108133,1,22.548002197631167,0.03138592519659281,80.56914849264183,16.119147883250537,11.442327119168585,16.01123595505618,2
MNCN,2026-07-20,2026-07-21,1,4.716981132075482,27,0.35,-8.108108108108103,-8.108108108108103,0,1,4.716981132075482,210.0,212.0,208.0,212.0,33713200.0,1.546989060829077,7147198400.0,0.0,0.0,6.132075471698113,0.99999999975,57.27083362481412,1.4530701201232334,1,18.47229105040614,0.33469804336722925,26.378843268527074,3.870651641352281,1.864309052469727,1.8867924528301887,1
MNCN,2026-07-17,2026-07-21,2,4.716981132075482,27,0.35,-8.108108108108103,-8.108108108108103,0,1,4.716981132075482,212.0,212.0,208.0,210.0,32543700.0,1.59371694417238,6834177000.0,0.9523809523809524,0.9523809523809524,6.190476190476191,0.499999999875,54.87518790232118,1.2883735420954157,1,18.12538465450876,0.2746494857710146,-11.637712313337126,2.9916625796959266,0.7097640514099317,1.9047619047619049,0
MNCN,2026-07-16,2026-07-21,3,4.716981132075482,27,0.35,-8.108108108108103,-8.108108108108103,0,1,4.716981132075482,204.0,212.0,202.0,212.0,42447300.0,2.056507904977962,8998827600.0,0.0,1.8867924528301887,6.132075471698113,0.9999999999,57.88895143494108,1.1478684205515735,1,17.75179315123466,0.18219941642210635,11.046009122642667,4.02355250245338,1.4354066985645932,4.716981132075472,1
LAPD,2026-07-20,2026-07-21,1,4.4117647058823595,29,0.35,-14.084507042253524,-14.084507042253524,0,1,4.4117647058823595,68.0,69.0,67.0,68.0,15867400.0,0.361099748246974,1078983200.0,23.52941176470588,23.52941176470588,29.411764705882355,0.49999999975,54.761223571419386,0.9029142767500083,1,36.93415605051656,-0.1526735724078037,8.543117050220859,7.850911974623321,1.7659383418138386,2.941176470588235,0
